7 1535 901 297 1561
776 2684 2356 1059 152
1945 340 525 932 818
1278 1098 2406 1699 1841
1853 1406 372 2362 2221
2970 1795 25 2402 606
1493 2554 344 632 15
1883 1878 266 1464 2653
2671 2195 1350 1457 56
555 178 2563 3 1274
2122 2468 1512 2693 927
493 763 964 674 2286
748 1747 514 2194 212
281 2700 537 197 581
1040 2015 1736 2994 1563
2075 200 1980 2968 1564
1247 1412 1120 890 2265
1157 1499 1712 1076 530
758 2476 1027 451 286
925 1838 2649 867 1657
1125 545 908 2587 1705
2630 543 205 2528 1914
2300 2102 66 798 1396
1982 234 599 2822 2317
2184 1731 374 1627 1204
991 2511 1774 352 2553
1538 1101 29 1400 1845
2582 1776 1078 2082 1821
2987 234 2419 623 1410
773 762 101 2271 2924
1259 706 2458 1773 634
2977 1668 2221 438 1782
1426 62 2628 622 2872
1606 2677 2602 801 812
2539 1949 1469 234 1117
797 1256 899 1361 2369
571 1826 396 1450 56
1136 918 745 2877 2796
2055 1499 686 704 1666
379 367 27 1202 1280
159 42 1921 1282 1114
2349 54 229 1870 2527
1089 309 263 591 422
2621 264 2694 587 2139
2735 1834 1708 2586 857
806 2244 1830 2518 1507
2796 2779 45 1785 1122
2740 160 1868 1861 2988
2367 1169 441 2958 28
1897 1522 1815 1139 2668
2944 455 2624 1932 905
2959 904 2472 78 1153
1564 570 2856 1237 1811
2059 197 479 2166 1710
559 942 2760 2758 2651
1990 1334 1702 703 2457
507 1116 2012 1749 1880
187 2590 267 2849 1629
2165 2772 40 2899 1552
29 296 2240 567 2054
35 815 1458 1419 833
1596 1452 1929 399 1866
1679 637 811 574 424
991 544 2407 1261 2585
2586 2836 1387 1322 1886
454 1211 652 3 1580
852 622 510 1845 2426
575 584 1141 2552 2755
1233 2977 1834 1452 2404
2831 1459 1788 1383 1381
502 219 1662 2463 1698
2105 2110 1127 2486 1912
1414 281 2619 1257 613
2925 476 1085 167 2959
2716 1194 2214 860 1686
551 1533 855 1978 859
1652 2022 993 2192 2018
1736 295 232 2342 1808
2132 898 2028 1983 596
2542 1426 578 1745 1601
2383 1763 2697 692 2824
1825 1300 1629 1418 1974
287 131 1142 1337 270
2213 2909 374 2332 1051
2437 227 2726 141 1326
878 1518 2428 331 2907
1021 955 202 2959 757
1891 344 388 1581 2377
